# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "--fracOverlapFeature" "0.9" "--largestOverlap" "-o" "out/counts/mito/shortFeatures/sense/pr2-2_mito_featureCounts.txt" "out/filtered/pr2-2_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/pr2-2_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	14655
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	1601
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	8585
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	674
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	4870060
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	6817
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	370635
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	3
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	520
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	73
RNA32	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	926
RNA33	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	851
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	390
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	66260
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	8330
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	5
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	43044
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	3000909
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	269542
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	1751379
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	20596
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	225400
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	5220309
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	38195
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	7423
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	12684
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	15085
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	783
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	44434
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	311379
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	552440
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	9846
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	1636
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	24926
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	129367
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	2426223
LSUA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	18130
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	91224
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	38175
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	4024385
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	987
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	571
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	80
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	87	+	33	21
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	375
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	4059
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	549704
LSUDE	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	234	515	-	282	0
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	250192
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	14068
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	107409
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	104
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	163196
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	995580
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	6256
SSUE_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	1569
SSUE_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	790
SSUE_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1062	-	19	21511
SSUD	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1109	1180	+	72	1545474
LSUFG	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1212	1417	-	206	0
RNA42	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	3033	3058	-	26	378
