# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "--fracOverlapFeature" "0.8" "--largestOverlap" "-o" "out/counts/mito/shortFeatures/sense/pr1-2_mito_featureCounts.txt" "out/filtered/pr1-2_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/pr1-2_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	33746
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	5290
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	15134
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	901
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	4864278
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	539079
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	38648
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	20
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	24
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	22
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	809
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	161497
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	10859
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	5
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	49298
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	4401462
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	289564
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	2346740
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	72329
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	347700
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	2194956
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	28885
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	12424
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	21369
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	48
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	625
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	111491
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	616216
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	692475
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	24089
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	1066
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	71812
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	331288
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	4347812
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	34466
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	62620
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	83041
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	4050320
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	14
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	293
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	227
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	78	+	24	3646
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	634
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	6748
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	1087715
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	531409
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	16630
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	230773
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	94
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	291197
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	1432527
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	2318
SSUE_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	5563
SSUE_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	2522
SSUE_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1062	-	19	18027
SSUD	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1109	1180	+	72	2186504
RNA42	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	3033	3058	-	26	1358
