# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "--fracOverlapFeature" "0.9" "--largestOverlap" "-o" "out/counts/mito/shortFeatures/sense/pr0-1_mito_featureCounts.txt" "out/filtered/pr0-1_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/pr0-1_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	9933
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	1277
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	5885
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	235
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	2700607
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	4188
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	326474
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	1
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	95
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	38
RNA32	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	105
RNA33	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	5329
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	315
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	66277
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	3666
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	0
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	43372
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	2456509
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	124615
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	1234304
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	14874
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	149282
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	1337354
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	14227
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	3662
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	17050
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	26165
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	394
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	38461
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	326122
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	395869
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	10959
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	268
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	27896
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	97908
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	1841415
LSUA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	12553
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	28554
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	50622
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	2517603
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	34
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	91
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	125
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	87	+	33	45
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	304
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	2341
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	642054
LSUDE	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	234	515	-	282	0
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	258478
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	14268
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	97309
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	44
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	134400
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	769084
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	1352
SSUE_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	853
SSUE_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	640
SSUE_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1062	-	19	10855
