# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "--fracOverlapFeature" "0.8" "--largestOverlap" "-o" "out/counts/mito/shortFeatures/sense/pr3-3_mito_featureCounts.txt" "out/filtered/pr3-3_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/pr3-3_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	5016
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	499
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	6218
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	135
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	3171447
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	101482
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	39002
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	16
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	9
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	15
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	264
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	43900
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	4249
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	7
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	36969
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	2059230
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	120297
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	794605
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	32240
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	104221
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	3241652
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	21546
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	4373
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	9230
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	10
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	770
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	22822
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	195876
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	279122
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	4203
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	504
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	29406
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	134199
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	1995816
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	7083
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	73173
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	19307
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	2507036
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	2
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	143
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	54
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	78	+	24	337
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	218
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	2303
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	353701
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	140806
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	15225
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	51982
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	108
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	70395
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	477796
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	6996
SSUE_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	1505
SSUE_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	1032
SSUE_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1062	-	19	11068
SSUD	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1109	1180	+	72	1011241
RNA42	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	3033	3058	-	26	240
