# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "--fracOverlapFeature" "0.8" "--largestOverlap" "-o" "out/counts/mito/shortFeatures/sense/14_mito_featureCounts.txt" "out/filtered/14_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/14_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	34851
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	7177
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	12156
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	5031
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	4535769
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	462885
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	59925
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	44
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	42
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	28
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	1339
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	120357
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	14943
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	26
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	37129
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	3665245
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	268378
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	2589372
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	53332
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	288689
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	2644432
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	61525
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	14475
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	7508
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	34
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	3451
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	184314
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	1236746
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	728852
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	61590
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	1071
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	102215
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	283157
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	2958502
LSUA	molecule2_JEATVDKpUB*	1634	1810	+	177	256732
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	18204
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	42213
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	50528
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	2379993
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	40
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	1154
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	156
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	78	+	24	3939
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	1218
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	23501
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	592072
LSUDE	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	234	515	-	282	0
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	381230
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	22364
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	740420
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	227
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	238866
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	1089863
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	5881
SSUE_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	8966
SSUE_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	3109
SSUE_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1062	-	19	12829
SSUD	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1109	1180	+	72	1589103
LSUFG	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1212	1417	-	206	0
RNA42	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	3033	3058	-	26	2684
