# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "--fracOverlapFeature" "0.9" "--largestOverlap" "-o" "out/counts/mito/shortFeatures/sense/10_mito_featureCounts.txt" "out/filtered/10_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/10_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	16903
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	3443
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	8717
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	1272
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	2659341
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	6120
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	392190
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	3
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	258
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	86
RNA32	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	290
RNA33	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	3214
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	700
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	95263
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	11236
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	10
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	15657
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	2638363
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	129668
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	1536384
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	17145
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	192562
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	1694281
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	29097
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	6282
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	8829
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	15718
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	3557
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	80341
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	1029750
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	484308
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	29028
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	1748
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	64853
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	112369
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	1975363
LSUA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	11657
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	39436
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	38495
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	2091902
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	169
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	223
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	142
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	87	+	33	83
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	669
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	9491
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	391859
LSUDE	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	234	515	-	282	0
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	309167
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	17096
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	342874
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	129
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	122676
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	768741
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	4102
SSUE_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	1883
SSUE_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	499
SSUE_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1062	-	19	6193
SSUD	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1109	1180	+	72	1085570
LSUFG	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1212	1417	-	206	0
RNA42	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	3033	3058	-	26	1200
