# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "--fracOverlapFeature" "0.9" "--largestOverlap" "-o" "out/counts/mito/shortFeatures/sense/pr3-1_mito_featureCounts.txt" "out/filtered/pr3-1_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/pr3-1_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	8376
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	677
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	9828
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	247
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	2716586
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	5347
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	176383
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	1
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	183
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	60
RNA32	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	274
RNA33	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	348
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	351
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	56204
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	4968
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	4
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	42792
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	1883398
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	128195
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	811517
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	13772
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	131015
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	1694880
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	17417
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	5934
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	12478
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	9359
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	545
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	15684
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	149749
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	325333
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	3848
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	712
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	27336
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	107785
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	1951845
LSUA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	8829
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	82494
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	23839
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	2292424
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	296
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	166
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	49
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	87	+	33	13
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	337
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	2686
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	424019
LSUDE	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	234	515	-	282	0
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	187849
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	13082
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	39081
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	62
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	84348
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	638402
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	5519
SSUE_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	1062
SSUE_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	864
SSUE_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1062	-	19	14694
SSUD	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1109	1180	+	72	903324
LSUFG	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1212	1417	-	206	0
RNA42	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	3033	3058	-	26	208
