# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "--fracOverlapFeature" "0.9" "--largestOverlap" "-o" "out/counts/mito/shortFeatures/sense/par3_mito_featureCounts.txt" "out/filtered/par3_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/par3_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	83541
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	1447
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	23137
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	470
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	6284757
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	8933
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	678227
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	4
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	539
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	469
RNA32	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	219
RNA33	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	1991
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	782
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	630054
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	27528
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	8
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	47368
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	3521055
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	789182
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	734172
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	352401
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	328887
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	2725167
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	18149
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	42871
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	17944
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	16521
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	313
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	27746
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	101978
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	373949
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	12482
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	1054
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	106526
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	276062
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	5373343
LSUA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	8957
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	67624
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	135577
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	4110106
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	88
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	172
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	554
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	87	+	33	124
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	709
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	3836
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	1309867
LSUDE	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	234	515	-	282	0
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	1037829
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	9474
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	76925
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	105
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	118203
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	1172986
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	1358
SSUE_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	1524
SSUE_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	1276
SSUE_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1062	-	19	14114
SSUD	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1109	1180	+	72	2920815
LSUFG	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1212	1417	-	206	0
RNA42	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	3033	3058	-	26	849
