# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "--fracOverlapFeature" "0.8" "--largestOverlap" "-o" "out/counts/mito/shortFeatures/sense/par1_mito_featureCounts.txt" "out/filtered/par1_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/par1_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	38515
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	4457
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	14369
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	1193
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	6367825
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	806242
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	30442
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	28
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	40
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	46
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	1209
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	202975
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	14283
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	10
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	118904
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	6091175
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	337369
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	3305052
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	59205
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	518848
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	3328245
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	40263
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	14789
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	33780
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	62
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	936
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	116314
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	969634
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	1109994
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	37194
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	2230
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	98303
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	657467
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	4207756
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	32955
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	58722
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	123286
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	4672209
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	20
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	425
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	322
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	78	+	24	11188
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	944
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	8171
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	1520943
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	749583
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	35533
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	304140
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	129
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	350362
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	1810941
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	4412
SSUE_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	6571
SSUE_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	4380
SSUE_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1062	-	19	30824
SSUD	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1109	1180	+	72	2978996
RNA42	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	3033	3058	-	26	5856
