# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "--fracOverlapFeature" "0.9" "--largestOverlap" "-o" "out/counts/mito/shortFeatures/sense/9_mito_featureCounts.txt" "out/filtered/9_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/9_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	52730
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	10380
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	13734
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	3011
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	6337256
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	18000
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	1204437
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	12
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	332
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	241
RNA32	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	680
RNA33	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	8594
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	1536
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	290916
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	12121
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	8
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	201783
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	7602059
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	198748
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	4383328
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	44304
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	951869
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	4844012
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	56985
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	13362
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	21070
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	51875
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	1315
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	137811
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	3574892
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	1685241
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	84462
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	1845
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	203310
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	208400
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	4970936
LSUA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	33363
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	35730
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	138050
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	2351337
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	322
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	573
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	267
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	87	+	33	91
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	1494
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	24595
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	1763727
LSUDE	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	234	515	-	282	0
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	1126115
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	60819
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	833955
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	117
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	392527
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	2620465
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	6039
SSUE_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	3282
SSUE_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	3043
SSUE_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1062	-	19	47066
SSUD	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1109	1180	+	72	4633911
LSUFG	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1212	1417	-	206	0
RNA42	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	3033	3058	-	26	7398
