# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "--fracOverlapFeature" "0.9" "--largestOverlap" "-o" "out/counts/mito/shortFeatures/sense/5_mito_featureCounts.txt" "out/filtered/5_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/5_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	27701
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	6250
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	30533
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	1917
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	3008388
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	14168
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	1134186
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	6
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	700
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	140
RNA32	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	329
RNA33	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	8100
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	2227
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	287516
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	16112
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	8
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	15671
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	2332720
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	81075
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	2107223
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	10915
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	426188
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	1500853
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	22721
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	11339
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	44697
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	28340
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	7228
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	68447
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	1040489
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	447943
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	63551
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	5502
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	110681
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	68296
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	1348045
LSUA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	8114
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	46697
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	89725
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	1127947
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	242
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	239
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	1040
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	87	+	33	405
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	2056
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	25350
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	1136303
LSUDE	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	234	515	-	282	0
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	1013808
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	27343
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	473131
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	140
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	115614
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	1046776
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	5737
SSUE_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	1856
SSUE_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	563
SSUE_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1062	-	19	7772
SSUD	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1109	1180	+	72	699416
LSUFG	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1212	1417	-	206	0
RNA42	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	3033	3058	-	26	2153
