# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "--fracOverlapFeature" "0.8" "--largestOverlap" "-o" "out/counts/mito/shortFeatures/sense/3_mito_featureCounts.txt" "out/filtered/3_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/3_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	19303
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	3641
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	8516
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	1059
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	6253220
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	419147
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	53735
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	17
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	13
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	24
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	753
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	102283
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	8158
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	11
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	48631
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	3343795
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	331810
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	2115966
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	36032
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	231576
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	4108555
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	40886
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	8575
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	12357
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	24
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	996
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	143206
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	776475
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	754982
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	34818
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	769
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	93874
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	232227
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	2894875
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	22477
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	70410
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	55294
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	3883043
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	21
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	329
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	189
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	78	+	24	3729
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	582
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	8603
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	607703
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	370329
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	20878
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	358361
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	114
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	170298
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	1086899
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	5562
SSUE_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	3943
SSUE_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	2943
SSUE_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1062	-	19	21715
SSUD	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1109	1180	+	72	2117841
RNA42	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	3033	3058	-	26	1959
