# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "--fracOverlapFeature" "0.9" "--largestOverlap" "-o" "out/counts/mito/shortFeatures/sense/pr2-1_mito_featureCounts.txt" "out/filtered/pr2-1_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/pr2-1_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	22859
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	2369
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	12987
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	673
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	5326899
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	8046
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	375102
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	6
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	301
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	133
RNA32	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	180
RNA33	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	906
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	418
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	94194
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	10436
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	5
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	29336
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	2936736
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	303795
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	1899920
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	34987
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	253612
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	4135004
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	32132
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	10983
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	12350
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	19859
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	728
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	53743
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	287969
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	501177
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	11273
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	647
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	43239
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	158962
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	3012271
LSUA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	18133
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	84418
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	45096
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	3864534
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	88
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	150
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	56
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	87	+	33	22
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	409
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	4870
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	708007
LSUDE	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	234	515	-	282	0
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	372091
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	9498
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	126299
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	69
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	183117
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	1095174
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	5129
SSUE_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	2553
SSUE_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	921
SSUE_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1062	-	19	14362
SSUD	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1109	1180	+	72	1520396
LSUFG	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1212	1417	-	206	0
RNA42	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	3033	3058	-	26	314
