# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "--fracOverlapFeature" "0.9" "--largestOverlap" "-o" "out/counts/mito/shortFeatures/sense/16_mito_featureCounts.txt" "out/filtered/16_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/16_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	23562
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	5983
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	10171
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	2058
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	5115816
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	16561
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	970155
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	1
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	332
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	80
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	1571
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	193628
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	14110
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	10
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	40446
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	3370014
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	141870
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	2271274
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	12815
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	437556
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	4440693
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	44249
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	6350
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	16948
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	29097
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	8286
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	92965
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	1755925
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	532770
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	58681
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	1931
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	91722
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	129442
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	2633474
LSUA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	16886
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	39028
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	80583
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	2363745
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	342
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	388
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	237
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	87	+	33	94
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	1345
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	19637
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	1228204
LSUDE	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	234	515	-	282	0
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	644391
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	45108
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	654498
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	233
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	259338
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	1594463
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	6093
SSUE_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	1687
SSUE_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	1036
SSUE_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1062	-	19	9522
SSUD	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1109	1180	+	72	2039117
LSUFG	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1212	1417	-	206	0
RNA42	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	3033	3058	-	26	2286
