# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "--fracOverlapFeature" "0.9" "--largestOverlap" "-o" "out/counts/mito/shortFeatures/sense/17_mito_featureCounts.txt" "out/filtered/17_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/17_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	11018
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	3092
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	10078
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	1122
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	3372338
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	10828
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	791995
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	5
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	458
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	34
RNA32	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	146
RNA33	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	6064
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	1102
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	111074
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	16230
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	36
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	13295
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	1366500
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	63475
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	1398975
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	3265
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	227787
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	1936414
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	22014
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	3747
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	33648
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	15462
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	6279
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	47054
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	761552
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	206970
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	32025
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	3192
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	43819
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	60597
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	1213562
LSUA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	9179
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	57701
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	55291
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	1438517
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	100
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	115
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	810
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	87	+	33	244
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	975
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	11684
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	880501
LSUDE	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	234	515	-	282	0
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	434895
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	25039
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	344531
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	270
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	66709
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	823610
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	5522
SSUE_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	685
SSUE_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	441
SSUE_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1062	-	19	4535
SSUD	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1109	1180	+	72	699702
LSUFG	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1212	1417	-	206	0
RNA42	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	3033	3058	-	26	1919
