# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "--fracOverlapFeature" "0.8" "--largestOverlap" "-o" "out/counts/mito/shortFeatures/sense/pr0-3_mito_featureCounts.txt" "out/filtered/pr0-3_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/pr0-3_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	51338
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	7682
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	27773
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	1695
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	8476027
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	899749
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	35740
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	35
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	50
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	46
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	1332
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	311282
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	15201
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	3
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	92002
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	5606212
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	440887
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	3444774
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	81457
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	490882
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	5049039
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	42804
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	17987
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	33912
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	75
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	1166
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	175435
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	951240
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	1115363
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	47668
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	2122
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	90280
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	265021
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	5385817
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	20296
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	99882
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	96868
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	6681760
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	42
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	724
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	315
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	78	+	24	13024
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	1067
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	15205
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	1809143
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	914467
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	28476
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	449138
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	92
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	485806
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	1646298
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	3432
SSUE_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	9153
SSUE_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	4451
SSUE_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1062	-	19	31954
SSUD	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1109	1180	+	72	2331427
RNA42	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	3033	3058	-	26	5357
