# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "-M" "-O" "--fraction" "--fracOverlapFeature" "0.9" "-o" "out/counts/10_mito_featureCounts.txt" "out/filtered/10_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/10_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	16899.50
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	3449.50
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	4375.00
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	5611.00
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	2659626.66
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	2926.16
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	395098.16
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	0.83
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	160.08
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	29.58
RNA32	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	439.92
RNA33	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	3320.42
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	900.67
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	95070.50
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	7269.65
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	10
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	539242.82
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	2123110.82
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	129571.67
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	1536384
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	17145
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	192900.16
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	847166.74
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	875866.33
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	2232.22
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	6441.80
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	22161.64
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	3557
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	80341
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	1029750
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	484042.66
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	30320.66
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	720.66
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	64814.33
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	56203.83
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	2031566.83
LSUA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	11651
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	13145.13
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	51997.63
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	2104695.63
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	286.83
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	112.33
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	50.00
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	87	+	33	124.83
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	712.00
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	10093.50
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	391256.50
LSUDE	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	234	515	-	282	0
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	154444.83
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	171493.33
