# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "-M" "-O" "--fraction" "--fracOverlapFeature" "0.85" "-o" "out/counts/pr1-1_mito_featureCounts.txt" "out/filtered/pr1-1_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/pr1-1_mito_filtered.bam
RNA3.rRNA	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	41931.50
RNA39.rRNA	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	1141.17
RNA31-F.rRNA	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	5468.67
RNA31-1.rRNA	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	5547.67
RNA6.rRNA	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	5378734.33
RNA34-F.rRNA	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	255032.33
RNA34-1.rRNA	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	300354.33
RNA37/38-F.rRNA	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	65.95
RNA37.rRNA	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	230.28
RNA38.rRNA	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	162.78
RNA32.rRNA	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	334.12
RNA33.rRNA	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	1061.87
RNA43.rRNA	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	424.17
RNA7.rRNA	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	181433.33
RNA9.rRNA	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	11679.66
RNA41.rRNA	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	3
SSUF-1.rRNA	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	907782.83
SSUF-2.rRNA	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	1862442.33
RNA1.rRNA	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	338564.66
RNA17.rRNA	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	766691
SSUB.rRNA	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	86139
RNA29.rRNA	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	286061.32
RNA5-F.rRNA	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	1156497.57
RNA5-1.rRNA	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	1166623.49
RNA10-F.rRNA	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	6385.50
RNA10-1.rRNA	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	10504.42
RNA10-2.rRNA	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	20832.42
RNA36.rRNA	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	289
RNA19.rRNA	molecule2_JEATVDKpUB*	74	107	+	34	14973
LSUB.rRNA	molecule2_JEATVDKpUB*	1210	1235	-	26	87899
RNA30.rRNA	molecule2_JEATVDKpUB*	1418	1448	+	31	256608.16
RNA35.rRNA	molecule2_JEATVDKpUB*	1451	1468	+	18	6077.16
RNA2.rRNA	molecule2_JEATVDKpUB*	1487	1538	+	52	648.66
RNA13.rRNA	molecule2_JEATVDKpUB*	1573	1606	-	34	53722.33
RNA15-F.rRNA	molecule2_JEATVDKpUB*	1606	1634	-	29	89675.33
RNA15-1.rRNA	molecule2_JEATVDKpUB*	1612	1632	-	21	2410088.33
LSUA.rRNA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA.rRNA	molecule2_JEATVDKpUB*	1799	1911	+	113	21170.75
RNA23t-F.rRNA	molecule2_JEATVDKpUB*	1909	1970	+	62	24706.21
RNA23t-1.rRNA	molecule2_JEATVDKpUB*	1913	1940	+	28	112541.71
