# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "-M" "-O" "--fraction" "--fracOverlapFeature" "0.9" "-o" "out/counts/pr1-3_mito_featureCounts.txt" "out/filtered/pr1-3_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/pr1-3_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	19077.50
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	3464.50
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	3871.00
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	4497.00
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	4852741.50
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	2620.00
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	505726.50
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	0
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	131.42
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	24.92
RNA32	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	293.42
RNA33	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	4020.75
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	835.50
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	76140.00
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	7158.50
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	3
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	417793.16
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	3768674.66
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	456864.66
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	2858009
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	25661
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	308265.31
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	3111092.81
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	3163699.56
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	3527.03
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	12652.53
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	46143.53
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	905
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	74640
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	814663
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	1012294.33
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	23178.33
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	297.33
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	21680.00
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	92439.50
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	3805716.50
LSUA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	25554.50
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	24528.96
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	95645.96
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	4594822.46
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	172.35
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	70.60
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	37.52
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	87	+	33	69.02
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	727.52
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	5540.50
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	603528.50
LSUDE	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	234	515	-	282	0
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	144896.16
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	159615.16
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	196090.66
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	75
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	254739
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	1223824
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	5539.50
SSUE_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	667.49
SSUE_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	1208.49
SSUE_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1062	-	19	17372.49
SSUD	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1109	1180	+	72	2038937
LSUFG	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1212	1417	-	206	0
RNA42	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	3033	3058	-	26	1227
