# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "-M" "-O" "--fraction" "--fracOverlapFeature" "0.9" "-o" "out/counts/pr3-2_mito_featureCounts.txt" "out/filtered/pr3-2_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/pr3-2_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	13668
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	913.67
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	5660.17
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	5882.17
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	2048246.16
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	2740.66
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	168901.16
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	0.75
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	136.17
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	34.83
RNA32	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	278.83
RNA33	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	333.92
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	510.83
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	72136.67
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	5704.33
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	1
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	346182.66
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	1162655.66
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	139350.33
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	698574
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	16411
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	131193.83
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	755887.08
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	770284.91
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	3230.29
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	7889.37
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	16802.37
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	701
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	17481
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	115673
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	269128.83
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	7866.83
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	332.33
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	23900.83
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	37086.83
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	1416693.33
LSUA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	7721.50
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	22099.66
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	47265.16
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	1482155.66
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	167.20
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	53.20
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	12.37
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	87	+	33	27.37
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	436.87
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	3386
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	372164
LSUDE	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	234	515	-	282	0
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	116387.00
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	124732.00
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	41668.00
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	66
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	90114
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	658132
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	4741.75
SSUE_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	460.41
SSUE_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	1258.91
SSUE_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1062	-	19	11845.91
SSUD	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1109	1180	+	72	837071
LSUFG	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1212	1417	-	206	0
RNA42	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	3033	3058	-	26	199
