# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "-M" "-O" "--fraction" "--fracOverlapFeature" "0.9" "-o" "out/counts/9_mito_featureCounts.txt" "out/filtered/9_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/9_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	52722.50
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	10390.83
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	6874.33
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	9867.33
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	6337738.33
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	8785.83
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	1213168.83
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	3
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	250.42
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	84.75
RNA32	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	908.42
RNA33	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	8756.75
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	1807.83
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	290688.33
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	10026.32
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	8
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	2259735.65
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	5560336.15
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	197973.33
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	4383328
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	44304
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	952902.98
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	2421898.32
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	2478042.65
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	4694.43
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	14878.27
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	66756.10
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	1315
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	137811
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	3574892
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	1684795.99
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	85627.49
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	1124.49
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	203256.17
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	104226.67
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	5075163.17
LSUA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	33354
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	11909.82
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	150377.82
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	2362837.82
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	617.25
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	291.00
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	91.42
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	87	+	33	167.42
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	1580.92
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	25168
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	1763154
LSUDE	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	234	515	-	282	0
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	562869.16
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	623565.16
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	834454.66
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	117
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	392527
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	2620465
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	6032.75
SSUE_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	1102.23
SSUE_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	4135.73
SSUE_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1062	-	19	48159.23
SSUD	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1109	1180	+	72	4633911
LSUFG	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1212	1417	-	206	0
RNA42	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	3033	3058	-	26	7398
