# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "-M" "-O" "--fraction" "--fracOverlapFeature" "0.9" "-o" "out/counts/17_mito_featureCounts.txt" "out/filtered/17_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/17_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	11009
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	3114.33
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	5046.83
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	6139.83
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	3373195.82
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	5001.82
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	796963.32
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	1.15
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	240.98
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	12.15
RNA32	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	375.98
RNA33	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	6907.39
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	2564.16
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	109292.16
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	7236.11
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	36
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	507803.10
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	883889.60
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	63200.00
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	1398975
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	3265
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	233510.41
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	965773.91
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	986912.83
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	1308.90
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	18050.06
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	33515.56
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	6279
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	47054
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	761552
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	205524.99
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	35391.49
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	1270.49
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	43621.83
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	30396.83
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	1243959.33
LSUA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	9159.50
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	19233.37
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	74915.37
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	1457378.87
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	164.82
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	59.07
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	281.98
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	87	+	33	508.65
