# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "-M" "-O" "--fraction" "--fracOverlapFeature" "0.9" "-o" "out/counts/18_mito_featureCounts.txt" "out/filtered/18_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/18_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	10477.50
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	2281.67
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	5841.67
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	6822.17
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	2739078.48
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	5316.98
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	745006.48
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	0.95
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	251.28
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	21.28
RNA32	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	400.78
RNA33	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	7514.84
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	4944.14
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	92856.14
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	9407.91
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	10
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	523256.91
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	764486.91
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	56181.50
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	1484557
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	3011
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	162240.86
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	798231.94
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	814544.69
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	1619.06
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	21997.31
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	33664.64
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	6447
