# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "-M" "-O" "--fraction" "--fracOverlapFeature" "0.9" "-o" "out/counts/pr0-1_mito_featureCounts.txt" "out/filtered/pr0-1_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/pr0-1_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	9931
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	1281.00
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	2947.00
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	3171.00
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	2700710.83
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	2045.83
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	328512.33
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	0.25
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	60.33
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	12.83
RNA32	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	164.67
RNA33	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	5393.25
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	408.00
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	66211.17
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	3130.17
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	0
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	401021.00
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	2101118.50
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	124328.83
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	1234304
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	14874
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	149864.16
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	668418.16
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	682576.82
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	1274.98
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	9719.65
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	35886.15
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	394
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	38461
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	326122
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	395815.17
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	11110.67
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	170.17
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	27880.00
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	48962.00
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	1890377.00
LSUA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	12539.50
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	9517.85
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	60391.85
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	2526882.35
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	79.75
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	45.50
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	44.25
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	87	+	33	87.25
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	342.25
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	2541.50
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	641853.50
LSUDE	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	234	515	-	282	0
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	129170.33
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	143411.33
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	97473.33
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	44
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	134400
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	769084
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	1351.50
SSUE_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	285.33
SSUE_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	924.33
SSUE_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1062	-	19	11138.83
SSUD	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1109	1180	+	72	1305865
LSUFG	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1212	1417	-	206	0
RNA42	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	3033	3058	-	26	2188
