# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "-M" "-O" "--fraction" "--fracOverlapFeature" "0.9" "-o" "out/counts/pr1-2_mito_featureCounts.txt" "out/filtered/pr1-2_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/pr1-2_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	31412
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	5277.33
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	7424.33
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	8369.33
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	4847637.00
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	3522.00
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	568710.00
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	0.75
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	183.08
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	55.58
RNA32	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	403.08
RNA33	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	3705.50
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	840.50
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	159741.00
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	8774.66
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	2
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	755735.49
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	3603930.99
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	287514.33
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	2308711
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	63422
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	347904.65
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	1096758.90
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	1124447.57
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	4031.28
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	14433.19
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	60231.19
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	598
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	108146
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	613372
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	690202.16
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	24447.66
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	457.16
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	59170.33
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	121085.83
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	4548087.83
LSUA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	33854
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	19604.37
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	100720.37
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	4072471.37
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	216.78
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	93.03
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	62.45
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	87	+	33	118.28
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	679.45
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	7256
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	1080910
LSUDE	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	234	515	-	282	0
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	265474.83
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	278630.83
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	230525.33
