# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "-M" "-O" "--fraction" "--fracOverlapFeature" "0.9" "-o" "out/counts/pr3-1_mito_featureCounts.txt" "out/filtered/pr3-1_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/pr3-1_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	8374.50
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	678.50
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	4921
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	5154
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	2716870.33
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	2624.83
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	178820.83
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	0.25
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	111.58
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	20.75
RNA32	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	375.92
RNA33	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	371.00
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	406.67
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	56152.83
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	4280.00
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	4
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	331835.83
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	1597786.33
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	128107.83
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	811517
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	13772
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	131182.50
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	847679.25
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	864445.91
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	2104.64
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	8155.05
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	17515.55
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	545
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	15684
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	149749
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	322039.67
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	7303.67
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	549.67
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	27306.67
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	53907.17
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	2005752.17
LSUA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	8811.50
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	27497.58
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	51952.08
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	2319323.58
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	382.88
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	85.13
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	16.88
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	87	+	33	24.22
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	352.88
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	3233
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	423472
