# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "-M" "-O" "--fraction" "--fracOverlapFeature" "0.85" "-o" "out/counts/par1_mito_featureCounts.txt" "out/filtered/par1_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/par1_mito_filtered.bam
RNA3.rRNA	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	36969
RNA39.rRNA	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	4464.00
RNA31-F.rRNA	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	7248.00
RNA31-1.rRNA	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	8277.00
RNA6.rRNA	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	6360701.00
RNA34-F.rRNA	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	397271.00
RNA34-1.rRNA	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	438014.00
RNA37/38-F.rRNA	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	34
RNA37.rRNA	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	167.00
RNA38.rRNA	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	110.67
RNA32.rRNA	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	570.50
RNA33.rRNA	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	11297.17
RNA43.rRNA	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	1235.83
RNA7.rRNA	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	202027.33
RNA9.rRNA	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	10971.33
RNA41.rRNA	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	10
SSUF-1.rRNA	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	1189538.32
SSUF-2.rRNA	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	5014349.82
RNA1.rRNA	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	336028.99
RNA17.rRNA	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	3281617
SSUB.rRNA	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	53013.50
RNA29.rRNA	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	516612.65
RNA5-F.rRNA	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	1663640.90
RNA5-1.rRNA	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	1702503.48
RNA10-F.rRNA	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	5447.01
RNA10-1.rRNA	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	21798.60
RNA10-2.rRNA	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	78757.60
RNA36.rRNA	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	916
RNA19.rRNA	molecule2_JEATVDKpUB*	74	107	+	34	115185
LSUB.rRNA	molecule2_JEATVDKpUB*	1210	1235	-	26	968371
RNA30.rRNA	molecule2_JEATVDKpUB*	1418	1448	+	31	1108062.83
RNA35.rRNA	molecule2_JEATVDKpUB*	1451	1468	+	18	37574.33
RNA2.rRNA	molecule2_JEATVDKpUB*	1487	1538	+	52	1454.83
RNA13.rRNA	molecule2_JEATVDKpUB*	1573	1606	-	34	85134.67
RNA15-F.rRNA	molecule2_JEATVDKpUB*	1606	1634	-	29	326576.67
RNA15-1.rRNA	molecule2_JEATVDKpUB*	1612	1632	-	21	4533226.67
LSUA.rRNA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA.rRNA	molecule2_JEATVDKpUB*	1799	1911	+	113	32781.17
RNA23t-F.rRNA	molecule2_JEATVDKpUB*	1909	1970	+	62	18520.05
RNA23t-1.rRNA	molecule2_JEATVDKpUB*	1913	1940	+	28	141837.72
RNA23t-2.rRNA	molecule2_JEATVDKpUB*	1920	1963	+	44	4693127.22
