# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "-M" "-O" "--fraction" "--fracOverlapFeature" "0.9" "-o" "out/counts/8_mito_featureCounts.txt" "out/filtered/8_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/8_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	36801
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	9424.17
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	7780.67
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	12490.17
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	3725567.33
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	5433.33
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	621403.33
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	1.48
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	259.32
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	79.32
RNA32	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	1087.48
RNA33	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	4937.07
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	1869.67
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	185576.67
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	12479.16
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	5
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	904369.99
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	3714344.49
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	187900.33
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	3097343
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	49679
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	328745.83
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	1107961.41
