# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "-M" "-O" "--fraction" "--fracOverlapFeature" "0.9" "-o" "out/counts/6_mito_featureCounts.txt" "out/filtered/6_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/6_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	15308.50
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	3074.00
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	10909.50
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	11937.00
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	2713375.64
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	6122.64
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	872994.64
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	1.50
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	299.00
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	30.00
RNA32	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	495.67
RNA33	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	8412.82
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	4453.32
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	161681.15
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	10820.40
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	14
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	868095.57
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	1150672.57
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	72434.66
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	1774662
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	5436
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	271024.37
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	726022.12
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	742028.37
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	2507.38
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	20006.63
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	34157.63
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	6652
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	47268
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	663749
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	298955.63
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	48769.63
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	3004.63
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	59624.16
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	27063.66
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	1090038.16
LSUA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	10788
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	16494.75
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	68912.25
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	1159098.25
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	223.38
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	75.63
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	329.88
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	87	+	33	554.71
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	1629.38
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	16238.50
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	788097.50
LSUDE	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	234	515	-	282	0
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	324685.78
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	346439.28
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	321651.78
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	258
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	50467
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	1033726
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	5612.75
