# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "-M" "-O" "--fraction" "--fracOverlapFeature" "0.9" "-o" "out/counts/14_mito_featureCounts.txt" "out/filtered/14_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/14_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	33503
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	7157.33
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	5936.33
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	10972.33
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	4515225.49
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	4504.49
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	510853.99
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	1.25
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	219.33
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	89.50
RNA32	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	946.33
RNA33	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	3851.42
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	1376.83
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	117296.33
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	12367.66
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	4
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	553584.33
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	3081814.33
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	266425.67
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	2498138
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	45647
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	286438.66
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	1321413.08
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	1378309.58
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	4695.10
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	7936.85
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	28995.52
