# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "-M" "-O" "--fraction" "--fracOverlapFeature" "0.9" "-o" "out/counts/15_mito_featureCounts.txt" "out/filtered/15_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/15_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	29244.50
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	6588.17
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	3699.17
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	5629.17
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	4703893.00
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	5528.00
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	706402.00
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	0.70
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	94.53
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	30.53
RNA32	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	483.37
RNA33	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	5973.87
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	1099.17
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	170370.83
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	5409.50
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	5
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	949103.16
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	3237235.66
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	151158.66
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	2365685
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	21767
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	483805.32
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	1838584.57
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	1877541.32
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	2852.04
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	10575.29
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	48779.29
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	1566
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	102425
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	1721966
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	757950.00
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	49672.00
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	307.00
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	109281.67
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	106985.17
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	3332826.17
LSUA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	21576
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	7459.89
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	91785.39
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	2034771.39
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	363.37
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	171.87
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	46.70
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	87	+	33	90.87
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	939.20
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	14177
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	1181334
LSUDE	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	234	515	-	282	0
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	317520.50
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	347623.00
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	557853.50
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	133
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	332780
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	1326642
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	3107.75
SSUE_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	683.74
SSUE_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	2683.74
SSUE_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1062	-	19	28651.74
SSUD	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1109	1180	+	72	2407774
LSUFG	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1212	1417	-	206	0
RNA42	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	3033	3058	-	26	3345
