# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "-M" "-O" "--fraction" "--fracOverlapFeature" "0.85" "-o" "out/counts/pr3-3_mito_featureCounts.txt" "out/filtered/pr3-3_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/pr3-3_mito_filtered.bam
RNA3.rRNA	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	4857.50
RNA39.rRNA	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	504.83
RNA31-F.rRNA	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	3130.83
RNA31-1.rRNA	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	3204.83
RNA6.rRNA	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	3163978.66
RNA34-F.rRNA	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	49006.66
RNA34-1.rRNA	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	90886.66
RNA37/38-F.rRNA	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	15.95
RNA37.rRNA	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	78.28
RNA38.rRNA	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	54.28
RNA32.rRNA	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	205.78
RNA33.rRNA	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	354.53
RNA43.rRNA	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	278.83
RNA7.rRNA	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	43514.33
RNA9.rRNA	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	3127.83
RNA41.rRNA	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	5
SSUF-1.rRNA	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	300882.00
SSUF-2.rRNA	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	1793413.00
RNA1.rRNA	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	120067.17
RNA17.rRNA	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	789971.50
SSUB.rRNA	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	20541
RNA29.rRNA	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	111915.16
RNA5-F.rRNA	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	1620542.66
RNA5-1.rRNA	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	1641788.91
RNA10-F.rRNA	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	1605.90
RNA10-1.rRNA	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	5942.40
RNA10-2.rRNA	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	12235.40
RNA36.rRNA	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	751
RNA19.rRNA	molecule2_JEATVDKpUB*	74	107	+	34	22438
LSUB.rRNA	molecule2_JEATVDKpUB*	1210	1235	-	26	195597
RNA30.rRNA	molecule2_JEATVDKpUB*	1418	1448	+	31	275382.33
RNA35.rRNA	molecule2_JEATVDKpUB*	1451	1468	+	18	7446.33
RNA2.rRNA	molecule2_JEATVDKpUB*	1487	1538	+	52	264.33
RNA13.rRNA	molecule2_JEATVDKpUB*	1573	1606	-	34	23809.67
RNA15-F.rRNA	molecule2_JEATVDKpUB*	1606	1634	-	29	65958.67
