# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "2" "--fracOverlapFeature" "0.75" "--largestOverlap" "-o" "out/counts/mito/shortFeatures/antisense/pr2-2_mito_featureCounts.txt" "out/filtered/pr2-2_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/pr2-2_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	0
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	25
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	29
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	15
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	34
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	5
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	0
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	0
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	0
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	0
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	261
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	1
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	6
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	16312
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	2
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	3
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	5
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	123
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	0
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	16
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	1
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	4
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	0
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	0
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	0
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	16426
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	126
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	873
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	12
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	1
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	14
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	12
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	4
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	8
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	0
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	9
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	9
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	7
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	4
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	1
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	68
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	78	+	24	1
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	194
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	23
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	2
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	3
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	1
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	40
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	153
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	15
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	2
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	34
SSUE_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	18
SSUE_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	64
SSUE_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1062	-	19	2
SSUD	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1109	1180	+	72	6
RNA42	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	3033	3058	-	26	90
