# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "2" "--fracOverlapFeature" "0.75" "--largestOverlap" "-o" "out/counts/mito/shortFeatures/antisense/11_mito_featureCounts.txt" "out/filtered/11_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/11_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	10
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	123
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	138
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	138
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	165
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	23
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	1
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	36
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	3
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	0
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	1386
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	24
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	10
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	33863
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	3
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	30
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	13
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	2095
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	30
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	70
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	5
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	49
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	0
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	6
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	0
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	13353
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	733
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	309
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	64
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	10
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	55
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	345
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	142
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	20
LSUA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	6
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	43
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	51
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	26
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	169
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	10
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	240
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	78	+	24	12
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	1155
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	79
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	11
LSUDE	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	234	515	-	282	0
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	15
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	3
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	149
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	1440
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	114
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	4
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	258
SSUE_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	37
SSUE_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	221
SSUE_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1062	-	19	26
SSUD	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1109	1180	+	72	136
LSUFG	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1212	1417	-	206	0
RNA42	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	3033	3058	-	26	179
